Timestamp,What new word is Cory using?,What language?,"Date if different than ""now""?",Description
10/24/2019 18:26:50,pumpkin,English,10/24/2019,
10/24/2019 18:27:20,car,English,10/24/2019,
10/24/2019 18:31:21,witch,English,10/24/2019,
10/24/2019 18:47:56,turtle,English,10/24/2019,
10/25/2019 6:34:44,spider,English,10/25/2019,
10/25/2019 6:51:44,pig,English,10/25/2019,
10/25/2019 7:06:42,4,English,10/25/2019,
10/25/2019 7:32:24,play,Chinese,10/25/2019,
10/25/2019 8:12:08,spin,Chinese,10/25/2019,
10/25/2019 14:31:11,baby,English,10/25/2019,
10/25/2019 14:31:32,hungry,English,10/25/2019,
10/25/2019 14:42:00,not,English,10/25/2019,
10/25/2019 15:38:43,telephone,Chinese,10/25/2019,
10/25/2019 16:06:02,dinosaur,Chinese,10/25/2019,
