timestamp,base_salary,annual_bonus,relocation_and_signing,equity_or_stock_per_year,total_comp,total_recurring_comp,job_title,seniority,years_exp,degree,approx_location,coarse_region,fine_region,gender,ethnicity,age_range,age
11/15/18 10:06 PM,150000,5000,5000,10000,170000,165000,Data Scientist,Senior,3,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
11/21/18 03:41 PM,96000,NULL,NULL,NULL,96000,96000,Data Scientist,Senior,1,Doctorate,"Seoul, South Korea",International,International,Male,Asian,30-39,36
11/27/18 07:41 AM,152000,15200,10000,NULL,177200,167200,Data Scientist,Senior,4,Doctorate,NYC,East Coast,New York,Female,White,30-39,39
03/05/19 03:52 PM,150000,NULL,NULL,150000,300000,300000,Data Scientist,Middle,3,Doctorate,San Francisco,West Coast,San Francisco,Female,White,30-39,33
03/05/19 04:14 PM,120000,10000,NULL,NULL,130000,130000,Machine Learning Engineer,Junior/entry level,1,Doctorate,Seattle,Northwest,Seattle,Female,Asian,30-39,32
03/05/19 06:56 PM,155000,NULL,3000,3000,161000,158000,Data Scientist,Senior,2,Doctorate,NYC,East Coast,New York,Male,NULL,30-39,30
03/06/19 10:23 AM,124000,NULL,2000,2000,128000,126000,Data Scientist,Middle,2,Doctorate,Boston,Northeast,Boston,Female,NULL,30-39,32
03/06/19 06:07 PM,148000,,,,148000,148000,Data Scientist,Senior,4,Doctorate,San Francisco,West Coast,San Francisco,Male,White,30-39,33
03/06/19 08:14 PM,110000,14000,,,124000,124000,Data Scientist,Middle,1,Doctorate,East Coast,East Coast,,Male,Black,30-39,31
03/07/19 07:21 AM,115000,9000,3000,,127000,124000,Data Scientist,Middle,3,Doctorate,Minneapolis,Midwest,Minneapolis,Male,White,30-39,30
03/07/19 09:18 AM,120000,7000,5000,,132000,127000,Software Engineer,Middle,3,Doctorate,Minneapolis,Midwest,Minneapolis,Male,White,30-39,31
